,id,native,language,text
87,117,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi I'm Alberto and I'm a native Italian speaker. I want to practice my English and maybe learn Spanish, in exchange I can help you with your Italian!"
89,119,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Speak with english or american people for learn language, only face 2 face. I can teach italian"
100,132,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I'm looking for language partners for practice my English. I can help you with Italian of course. I wish to know new cultures.
107,141,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi everyone, I'd like to improve my English skills. If you want to improve your Spanish, let me know! I'm sure we can help us. Please I just want to improve my fluently, I don't search any loving relationship."
108,142,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am looking for friends to help me in improving my English; i would like to help anbody Who wants to learn French or practice english. Knowing New people and New cultures are very important to me. Yours Sincerely.
109,143,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm just looking for conversations with somebody whose native language is English and who would like to speak French.My spare time activities are woodworking, reading , swimming and running"
115,150,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I am looking for people who can help me with English and Japanese languages. In exchange I could teach French. I can read English quite well but am very poor at listening and speaking. Sorry I don't answer men's requests, only women. I am also very keen on Japan that's why I would like to learn Japanese."
134,176,French,"[{'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","i like everything about dance : your dance, history, sociology, literature, rythm, biomechanics about ecology ( wastes, energy, rivers and phreatics, urbanism, steets, houses and dwelling.) about language : your expression, conversation, sociology of language, rhethoric, grammar and phonetic"
136,178,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a French native speaker and I'm 19. I'd like to practice English, and I could help with French. I'm here because I came to the conclusion that speaking to a native is the best way to make progress. If I can help and learn at the same time, then that's fine with me. I'm open to any conversation topic, so don't hesitate to contact me."
139,182,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I actually study business in the south of France. I always loved to learn languages especially English. I would like to discuss with someone and improve my English level (it's not too bad but not very good). My pronunciation is my weakness. Of course, I will be pleased to help you for French. Don't hesitate to send me a message :)"
145,189,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a microbiologist who has just finished my university studies. I am from Barcelona, Spain. My interests include science, movies, video games, hiking and sport climbing. I want to improve my english speaking skills for work but also because I love to travel."
149,194,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to learn English soon because I have to bussines around the world, let me know your free time to practice"
152,199,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I like reading British and American literature and I'm especially fond of American novels and newspapers. I like also listening to podcasts in English, like ""the BBC global news"" and ""The Daily"" (NY Times). Unfortunately, I have not many chances to speak English in my everyday life. Since I am a teacher, I think I can understand well the problems an English native speaker has to face in learning Italian and hopefully help to solve them."
157,204,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like improve my english and learn spanish. I can help You with italian and English. I am an italian native engineer.
158,206,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I would like to contact people who would exchange their language for Spanish.
160,209,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I can read in English, or listen to radio, podcast, films but I would like to meet English native speakers to speak English. Living in France, I don't have the opportunity to meet English native speakers easily and I am very glad a friend told me about this app. I would also be very pleased to help someone with his/her spoken French."
162,214,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm a french man who looks for someone to speak english and makes me progress.
165,218,French,"[{'language': 'Czech', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Don't hesitate to send me a message, even if you don't speak czech, french or english."
176,230,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my english by discussing with people whose first language is English. I hope that one day. i'll could watch TV show in Originals Version (and i do this traduction without translator, so that you can seen my english level)"
177,231,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am an English Student, and I would like to improve my English Level"
180,235,French,"[{'language': 'Berber', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}]","I like to travel, discover other cultures and share useful conversations"
181,236,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am an architect, from Colombia, currently I am looking for language exchange with native person."
194,253,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I have studied english, lived with different host families in Seattle, Indiana, Toronto, Dublin, and even worked in the United States during 2016 summer, but it was years ago so... I have forgotten a lot of things that I want to improve. I love sports, my favourite is Rythmic Gymnastics. I also love travelling, meet new people and explore new countries and places."
196,257,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I'm an italian guy that would like to exercize his english :) and improve German and Russian You are welcome!
198,259,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I was born in Madrid and love to speak in English, but I need to improve it, specially my speaking skills. If you need a friend to help you with your Spanish, that's me! I'll be happy to help you ☺ Music is my obsession. I work to be able to travel. My biggest hobby is playing drums."
201,263,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I live in South Italy and I would love to have the opportunity to talk with a BRITISH mother tongue LADY in order to improve my conversation skills. I happy to help you with Italian too. Females only please!
202,264,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Sign Language - International', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Cantonese)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm Arii, thank you for being interesting in being my penpal, I'm not very good at describing myself but I promise you that I'll do my best to get along great :D I'm very interested in learning new languages since I have free time now, I also like to meet people from different cultures to share stories and interests^^ I'm an introvert but don't worry, I do my best to look like an interesting person(? Haha Feel free to write me if you need a language partner or a friend :)"
204,266,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I am looking for friends for conversation and languages as well as culture discovery."
206,269,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I'm looking for someone very patient to chat with and exchange impression I am be very happily married and only seek friendship and mutual learning. I am a very happy person and very patient.
208,272,Spanish<br/>Catalan,"[{'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","-- Hello, I'm Ivan and I just moved to Tokyo to learn Japanese. I would be happy to help people who is learning spanish (or catalan) or those who just want to practice their writing/speaking. Feel free to send me a message."
212,279,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm a native italian speaker, i am here to practice english or japanese and to know more about other cultures I can help you with the italian language"
213,282,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Dutch', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",I would like to improve my english (mainly speaking.. ...some writing I can support you in French (native speaker : French) ! Someone who 'd love and don't hesitate to correct with patient. thanks PS I am looking for native speakers in these languages.
216,285,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am outgoing, friendly, I love talking, meeting new people and above all travelling. I am currently living in Ireland to improve my English."
226,296,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am very interested in finding a person to help me improve my English. My level is intermediate. I would like to discuss different topics in order to increase my vocabulary. My hobbies are traveling, hiking, movies and yoga. In exchange I can help you with your Spanish. I used to work as a Spanish teacher many years ago. Hope to hear from you!"
229,300,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I like daily conversation and i need to practice my english without any pressure. I would be glad to help you in French. I am looking for a long term exchange, a native speaker and around my age please."
232,303,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'd like communicate in english with people, in order to improve my spoken english. I can help you with your French in exchange, just reach out to me."
237,309,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I recently moved to London for work and I would like to meet someone To chat , to improve my English and help you improve your Italian"
239,311,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I am french and live near Paris (few km). I learned English on my own and I continue. But now as you can see I need help for speaking and writing. Of course in return, it will be a pleasure to help you with your french's practice. Because I like to teach and to help. We can exchange by video-call, messages or face to face in a cafe or other place. I enjoy to chat on a wide range of topics and meet new people."
241,313,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hey people! Very patient native french speaker here looking for a new partner to improve myself in Spanish, Japanese but also looking for native English speakers in order to be more fluent. Let's grab a drink or explore the city while having a nice talk :) A bientôt !"
246,319,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, I live in Paris and i work as a video editor in freelance. I'm here to improve english. It will be my pleasure to share my french."
247,320,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic (Egyptian)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I am a native French speaker from France. I studied mathematics and now I work in Cambridge as an engineer. I want to practice and improve my english. I need to get more confidence when I speak and learn more vocabulary. I would like to find a motivated person who is a native English speaker in order to develop my writing and speaking skills. I am also starting to learn Arabic but I am at the very beginning. In exchange, I can help with French."
252,328,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Polish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Ukrainian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm living in Lyon France. I would like to practice my english conversation and also some polish as I love this country. In exchange I can help you with your french :) I'm friendly, message me if you need help."
258,337,Spanish<br/>Galician,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I am a graphic designer and digital illustrator living in Spain. I've been learning English on my own and would like to practice conversation to improve it.
259,338,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello I am trying to learn english, if someone wants to study with me would be excellent, I can help you with spanish so send message if you are interested ."
264,347,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Doing the same thing over and over expecting a different result.
273,360,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",i'm looking for practice and learning english. willing help you in italian
276,363,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to meet people to practice English, in exchange I can help with Spanish."
284,371,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Bahasa (Indonesia)', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I´m spanish native who recently returned after living abroad for more than 1 year. I would like to continue improving my english, and in exchange I can help you with spanish language &amp; culture. Just for your reference, I love running, hiking, gym... all kinds of sport, natural environments and healthy life!."
285,372,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I am looking for someone for practise my English and help him in Italian if he wants. I like the nature and stay in it."
288,375,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Catalan', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I'm student in the Official School of Languages in Alicante, Spain, and I would llike to practice the languages that I currently learn: English, French, German and Catalan."
291,378,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I like to travel and I would like to speak perfectly english so please contact me. I will be a perfect french teacher too."
296,385,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","hello, I am edier and I am learning english, I want to meet people and their cultures to improve my level in the language, I can help you to learn spanish."
299,389,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Hebrew', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","Hi, I am a professor in a french university, and would be happy to exchange language skills and cultural knowledge in Paris with a native speaker. I enjoy playing music with friends, cooking (especially french patisserie) and sharing my best places. I am looking for cool but studious face to face exchanges in a friendly atmosphere, with open-minded people."
301,391,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Czech', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",Hoping to improve my spoken and written English and willing to help anyone with their Spanish.
302,392,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","(Not looking to flirt, just friends and that's it) A little bit about myself: I study at the National University of Lomas de Zamora (This is in Buenos Aires) I do martial arts to keep myself in shape, I play guitar in my free time, also teach personal defense for women when friends ask me to ( I don't have an academy just for educational purposes) and just started Salsa lessons. Very important: I love dogs :)"
303,393,Spanish<br/>Basque,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I am want to meet an English speakers (a single or a couple) to practice English and Spanish/Basque exchanging our knowledges in those languages. Don't be hesitate to get in touch with me. Please send me a message if you are interested in."
313,404,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am studying English and I am very interested in improving my way of speaking and I can also help you with your Spanish.
314,405,French,"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm learning japanese since few months, I'm looking for someone to exchange about language/culture/interest (food, music..) (I have a terrible french accent!). I can help you with your french."
318,409,Italian,"[{'language': 'Russian', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Polish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",Now I am interested in the following languages: 1) Russian language and culture; 2) Polish language and culture; 3) English language (British and/or American) I would be glad to help people wishing to learn Italian language. I prefer practicing on a regular basis. Hope to hear from you!
325,416,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am interested in improving my English skills and why not, helping you out with your Spanish skills. I am very patient and always happy to help. Please, don’t hesitate to contact me :)"
326,417,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello everyone, I'm Matteo and I would like to resume studying English. I would like to improve the conversation in everyday situations. I have a master degree and I was good in italian grammar at school so I can help someone who would learn Italian. I am sure the only way to improve a language it is speaking and make mistakes and learn by it."
329,420,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I am French native speaker. I would like to find friends to talk about interesting subjects. I don't like to speak English only for learning but also for fun, leisure time, culture, so that I can get acquainted with you. I have friends in other part of the world in French-speaking and English-speaking countries."
332,425,Spanish,"[{'language': 'French', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I’d like to learn more English and become confident using it when I am in mi job. I’m really looking forward to making lots of friends from around the world and improving my English a lot and I’ll help you with Spanish too. I need lots of help, but I’m willing to provide great conversation in return."
340,435,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'd like to improve my english skills to grow professionally. I want to practice listening and speaking. I love to teach others and I will be pleasured.
346,442,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",Cultural aspects and exchange language
349,445,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]","Hello, I am from Dominican Republic and I want to improve my English and French knowledges, make friends. I work as Software Developer."
350,446,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I have been living in Tennessee for 3 years and I can not speak fluently. I am a friendly person. I love to learn and to teach. I have experience teaching. Currently, I am studying English at the College. I want to know a person that really wants to learn Spanish. I am preparing my schedule for teaching Spanish next fall."
352,448,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Latin', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Nahuatl', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Looking to learn and improve my poor English, French, Italian, German and Latin. I don't ask for photos or video chat, though I do voice and text messaging as well as voice calls."
355,451,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello everyone, I am a person who enjoys exchanging experiences and knowledge with other people in the world, I really like that we can help each other, if you are studying Spanish for any reason I can help you."
359,456,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I aspire to make songs, poems, and articles in English. I am currently learning Italian too. It will be a pleasure to help you with Spanish in exchange."
368,470,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","Everyone is welcome in this profile. If you want a partner who can help you with your Spanish I'm here. I will be glad to teach and give you feedback. I'm interested to have a language exchange in English and French. Of course, If the exchange happens on a video Call better, we can improve our conversational skills. I'm interested in Asian and French culture."
375,478,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey, you can called me Mush , I'm a French student in a business school, I would like to level up my English skill so feel free to discuss about anything , im willing to meet more people, thank you."
378,482,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, im Bruno, im a enthusiastic person that are learning English 1 year ago, Im native speak Spanish, I love reading, watching movies, i would like to be able to speak English fluently. If you need some help with Spanish contact me."
388,494,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hello I'm from Peru, I really love languages and to know different cultures around the world.A conversation to improve my fluency would be great.I'd love to practice with anyone these languages:English,French or Portuguese.I can help with Spanish.Feel free to contact me if you are interested in learning languages or in practicing any of these languages."
389,495,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I work for a company from United States and that's why I would like to continue improving my english. I can help you with your spanish doing my best. I'm an open person so we can definitely have a conversation about any kind of topic. I would rather an audio or video call because that's the most natural way of leaning.
399,508,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I was wondering if you wanted to help me to practice my English by having some conversations from time to time about...anything?. I'd like to assist you with Spanish too."
400,510,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to learn, improve and increasing my level English and share with other my knowledge."
403,514,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I wanna understand the world around me!
